	index	0
249	0 days 09:41:40	0.041954929142856576
250	0 days 09:41:50	0.041984254611376066
251	0 days 09:42:00	0.04201281219441375
252	0 days 09:42:10	0.0420370556293833
253	0 days 09:42:20	0.04206454594819773
254	0 days 09:42:30	0.04209637307099365
255	0 days 09:42:40	0.04212803562764116
256	0 days 09:42:50	0.04216470803852705
257	0 days 09:43:00	0.04219428219008163
258	0 days 09:43:10	0.042216020475308494
259	0 days 09:43:20	0.042238258343141884
260	0 days 09:43:30	0.042264808709596514
261	0 days 09:43:40	0.042291946523958374
262	0 days 09:43:50	0.04231737366342503
263	0 days 09:44:00	0.04233957488580436
264	0 days 09:44:10	0.04235517877771845
265	0 days 09:44:20	0.042374181466726085
266	0 days 09:44:30	0.04239898461578335
267	0 days 09:44:40	0.042421947741073135
268	0 days 09:44:50	0.04244865742154975
269	0 days 09:45:00	0.04247407197470963
270	0 days 09:45:10	0.04251445946677686
271	0 days 09:45:20	0.0425561354862955
272	0 days 09:45:30	0.0426014906336808
273	0 days 09:45:40	0.04263869199645127
274	0 days 09:45:50	0.04268392126432336
275	0 days 09:46:00	0.04272369397569634
276	0 days 09:46:10	0.042767478112178695
277	0 days 09:46:20	0.042813704921536425
278	0 days 09:46:30	0.042860470518809216
279	0 days 09:46:40	0.04290429061072728
280	0 days 09:46:50	0.042958365095180084
281	0 days 09:47:00	0.043016668152675804
282	0 days 09:47:10	0.043069497945137904
283	0 days 09:47:20	0.04312173082949758
284	0 days 09:47:30	0.04317679681797244
285	0 days 09:47:40	0.0432319813037124
286	0 days 09:47:50	0.04329339308876129
287	0 days 09:48:00	0.043351274831591506
288	0 days 09:48:10	0.043414013800968154
289	0 days 09:48:20	0.04346682332576065
290	0 days 09:48:30	0.04351609863573427
291	0 days 09:48:40	0.04357546163573214
292	0 days 09:48:50	0.04362762119479981
293	0 days 09:49:00	0.04367718419598395
294	0 days 09:49:10	0.04373251867926578
295	0 days 09:49:20	0.04378061639194383
296	0 days 09:49:30	0.0438362260733732
297	0 days 09:49:40	0.04389619615865826
298	0 days 09:49:50	0.043958703484742276
299	0 days 09:50:00	0.04401853835910303
300	0 days 09:50:10	0.044078853481354346
301	0 days 09:50:20	0.044138231816157635
302	0 days 09:50:30	0.04420169122316217
303	0 days 09:50:40	0.044260376734975126
304	0 days 09:50:50	0.0443139660650395
